file,line,matched_text,claim_category,required_action,status,disposition,public_facing
site/src/lib/deq-data.ts,286,"export const siteLabel = (siteId, area) => siteId (area)",internal-slug-public,Amendment A.5 asks for DEQ's published site names in public artifacts. Not applicable to this file.,accepted-as-correct,"A.5 cannot be applied to site/src. DEQ's published names are school names (Broad Run HS, Sterling MS, Farmwell Station MS, Steuart Weller ES) and docs/CONTENT_CONSTRAINTS.md section 4 forbids a school name within 200 characters of a reading value, enforced by SCHOOL_RE in scripts/check-constraints.mjs. The slug labelling is the deliberate compliance measure, and getCrosswalk() carries DEQ's labels with no measurements so the reproduction stays checkable. A.5 is satisfied in the outputs/repro artifacts, which sit outside the lint scope and do use DEQ's published names.",yes
docs/COLLOCATION_METHOD.md,110,Agreement to three decimals is not verifiable against the source and must not,precision-claim,DEQ publishes to two significant figures. Restate any tighter reproduction claim as rounding to DEQ's published precision.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
docs/GENARCH_RULES.md,287,"DEQ publishes these coefficients to two significant figures, so the claim is that GENARCH's values round to DEQ's at DEQ's own precision. Agreement to three decimals is not verifiable against the source and must not be c",precision-claim,DEQ publishes to two significant figures. Restate any tighter reproduction claim as rounding to DEQ's published precision.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
site/src/app/community/data-center-alley/page.tsx,558,"Agreement to three decimals is not something this data can establish, and part of",precision-claim,DEQ publishes to two significant figures. Restate any tighter reproduction claim as rounding to DEQ's published precision.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,yes
docs/COLLOCATION_METHOD.md,39,"## Reproduction status at a 2026-08-10 cutoff, against the 2026-08-28 report",stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
docs/COLLOCATION_METHOD.md,56,"2026-08-07 to 2026-08-28. APEX 5 remains collocated and refits every week, and",stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
docs/COLLOCATION_METHOD.md,62,A cutoff sweep from 2026-08-05 to 2026-08-10 moves the APEX 5 NO2 intercept by,stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
docs/DATA_PROVENANCE.md,14,"| Virginia DEQ, Office of Air Quality Monitoring — ""Data Center Air Quality Analysis"" weekly PDFs | Downloaded from the DEQ project page on each publication date | 2026-08-07, 2026-08-14, 2026-08-21, 2026-08-28 | Virgini",stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
docs/GENARCH_RULES.md,285,"**Validated, at DEQ's published precision.** The four collocation regressions at the Ashburn site agree with DEQ's coefficients within 0.05 on slope and intercept and 0.03 on R², computed from the source tables at build ",stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
docs/GENARCH_RULES.md,342,"| 2026-08-19 | DEQ staff | APEX 5 NO2 collocation regression corrected to y = 1.8 + 0.32x, R² = 0.21: the ggplot call carried axis limits of x = 15 and y = 26 and the linear model was fit on the points inside those bound",stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
site/src/lib/deq-data.ts,23,"* dated 2026-08-07, so every percentile compared against its Table 4 stops there.",stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
site/src/lib/deq-data.ts,52,"export const DEQ_EDITION_CUTOFF = ""2026-08-07 07:00:00"";",stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
site/src/lib/deq-data.ts,53,"export const DEQ_EDITION_CUTOFF_LABEL = ""2026-08-07 07:00 EST"";",stale-cutoff,Claim or coverage statement pinned to a superseded cutoff. Add or update the report date and data cutoff so the figure is checkable.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
docs/COLLOCATION_METHOD.md,115,A stored APEX 5 NO2 figure of 1.84 / 0.316 / 0.205 reproduces only under a,stored-no2-coefficient,Stored APEX 5 NO2 coefficients. Verify against the 2026-08-28 published 1.7/0.31/0.21 before restating.,accepted-as-correct,Statement is the correction itself or a correctly dated historical record. No edit required.,no
site/src/lib/deq-data.ts,567,"apex-05-no2 assertion target 1.8/0.32/0.21 from 2026-08-19 correspondence, fitted over the 2026-08-07 window",cross-window-comparator,"The assertion target is a correspondence value dated 2026-08-19 while the GENARCH fit stops at the 2026-08-07 edition cutoff, which is the same cross-window comparison the surrounding comment warns against.",deferred-owner-decision,"Reported, not changed. Moving it would alter a build-time gate. Needs an owner decision on whether the column carries DEQ's 2026-08-07 published figure or DEQ's 2026-08-19 corrected figure.",no
site/src/lib/deq-data.ts,838,"DEQ_WEEKLY_EDITIONS: three editions, values 40.4, 38.2, 36.0",superseded-edition-count,Add the 2026-08-28 edition as a fourth column.,resolved,"Widened to four editions: daily p98 33.8, hourly p98 53.6, mean hourly 10.5, with the tuple types widened to length four.",no
site/src/app/community/data-center-alley/page.tsx,691,The sentence naming this sensor as the only one whose 98th percentile is word for word the same in all three editions.,table4-only-site,Rewrite per Phase 5.2.,resolved,"Rewritten. The page now says the sentence stood through the first three editions and that the August 28 edition drops it, gives the four-value series, and states plainly that this is a methodological point rather than a correction of a DEQ error.",yes
site/src/lib/deq-data.ts,829,VERIFY BEFORE PUSH: nine values transcribed from the three PDFs archived under docs/deq-reports/.,verification-gate,Diff the transcribed values against the archived PDFs.,resolved,Verified 2026-08-29 with pdfplumber against all four PDFs. All twelve values reproduce exactly. Note rewritten to record the verification and to cover the fourth edition.,no
